DisplayIndex=0
Millinits,Brightness
2949,0
3093,0
3236,1
3380,1
3524,1
3668,1
3812,2
3956,2
4100,2
4244,2
4388,3
4532,3
4677,3
4821,3
4966,4
5255,4
5834,5
6269,6
6850,7
7433,8
8162,9
8747,10
9480,11
10068,12
10804,14
11542,15
12345,16
13246,17
13968,18
14869,20
15772,21
16494,22
17578,23
18482,25
19386,26
20291,27
21378,29
22465,30
23372,31
24460,33
25549,34
26639,36
27912,38
29003,39
30278,41
31371,42
32647,44
33924,46
35202,48
36574,49
37673,50
39046,51
40420,52
41795,54
43170,55
44546,56
45923,57
47576,59
48954,60
50608,62
51987,63
53643,64
55024,66
56681,67
58340,69
59999,70
61382,71
63043,73
64982,75
66645,76
68309,78
69973,79
71676,80
73416,81
75593,83
77337,84
79081,85
80827,85
82575,86
84761,88
86511,89
88701,90
90454,91
92647,92
94404,93
96601,94
98360,95
100561,97
102764,98
104527,99
106734,100
108943,101
111153,103
113366,104
115138,105
117354,106
119573,107
121794,109
124016,110
126686,111
129048,113
131102,114
133671,115
135728,116
138301,117
140362,118
142940,119
145520,121
147586,122
150170,123
152757,124
155347,125
157939,127
160014,128
162610,129
165209,130
167810,131
170413,133
173019,134
175627,135
178238,136
180851,138
183467,139
186609,140
189230,142
191853,143
194479,144
197795,146
200548,147
203302,148
206057,149
208814,150
211571,151
214330,152
217090,153
220542,154
223305,155
226070,156
228835,157
232294,158
235062,159
237832,160
241296,161
244068,162
247535,164
250311,165
253087,166
256559,167
259339,168
262815,169
266293,170
269076,171
272558,172
275344,173
279171,175
282419,176
285672,177
288931,178
292194,179
295463,180
298736,181
302015,182
305299,183
308587,184
311881,185
315180,186
319311,187
322621,188
325936,189
329257,190
332582,191
336746,192
340083,193
343425,194
346772,195
350962,196
354321,197
357684,198
361895,200
365270,201
368650,202
372882,203
377006,204
380648,205
384290,205
387931,206
391571,207
395210,208
398849,208
402486,209
406123,210
410971,211
414606,212
418241,212
421874,213
425507,214
430349,215
433980,216
437610,216
441239,217
446076,218
449704,219
453330,220
458164,221
461789,221
465412,222
470243,223
473865,224
478693,225
482313,226
487138,227
490756,227
494374,228
499196,229
502811,230
507631,231
511244,232
516061,233
520876,234
525914,234
529752,235
533594,235
537440,236
543218,237
547076,237
550937,238
554803,238
560610,239
564487,239
568368,240
572254,240
578090,241
581986,242
585887,242
591746,243
595657,243
599573,244
605455,245
609381,245
613312,246
619216,246
623158,247
627104,247
633031,248
636988,249
642931,249
646899,250
650871,250
656837,251
660819,252
664807,252
670795,253
674793,253
680798,254
684807,255
688820,255
