DisplayIndex=0
Millinits,DBV
2949,1
3093,2
3236,3
3380,4
3524,5
3668,6
3812,7
3956,8
4100,9
4244,10
4388,11
4532,12
4677,13
4821,14
4966,15
5255,17
5834,21
6269,24
6850,28
7433,32
8162,37
8747,41
9480,46
10068,50
10804,55
11542,60
12345,65
13246,70
13968,74
14869,79
15772,84
16494,88
17578,94
18482,99
19386,104
20291,109
21378,115
22465,121
23372,126
24460,132
25549,138
26639,144
27912,151
29003,157
30278,164
31371,170
32647,177
33924,184
35202,191
36574,196
37673,200
39046,205
40420,210
41795,215
43170,220
44546,225
45923,230
47576,236
48954,241
50608,247
51987,252
53643,258
55024,263
56681,269
58340,275
59999,281
61382,286
63043,292
64982,299
66645,305
68309,311
69973,317
71676,322
73416,326
75593,331
77337,335
79081,339
80827,343
82575,347
84761,352
86511,356
88701,361
90454,365
92647,370
94404,374
96601,379
98360,383
100561,388
102764,393
104527,397
106734,402
108943,407
111153,412
113366,417
115138,421
117354,426
119573,431
121794,436
124016,441
126686,447
129048,452
131102,456
133671,461
135728,465
138301,470
140362,474
142940,479
145520,484
147586,488
150170,493
152757,498
155347,503
157939,508
160014,512
162610,517
165209,522
167810,527
170413,532
173019,537
175627,542
178238,547
180851,552
183467,557
186609,563
189230,568
191853,573
194479,578
197795,584
200548,588
203302,592
206057,596
208814,600
211571,604
214330,608
217090,612
220542,617
223305,621
226070,625
228835,629
232294,634
235062,638
237832,642
241296,647
244068,651
247535,656
250311,660
253087,664
256559,669
259339,673
262815,678
266293,683
269076,687
272558,692
275344,696
279171,701
282419,705
285672,709
288931,713
292194,717
295463,721
298736,725
302015,729
305299,733
308587,737
311881,741
315180,745
319311,750
322621,754
325936,758
329257,762
332582,766
336746,771
340083,775
343425,779
346772,783
350962,788
354321,792
357684,796
361895,801
365270,805
368650,809
372882,814
377006,818
380648,821
384290,824
387931,827
391571,830
395210,833
398849,836
402486,839
406123,842
410971,846
414606,849
418241,852
421874,855
425507,858
430349,862
433980,865
437610,868
441239,871
446076,875
449704,878
453330,881
458164,885
461789,888
465412,891
470243,895
473865,898
478693,902
482313,905
487138,909
490756,912
494374,915
499196,919
502811,922
507631,926
511244,929
516061,933
520876,937
525914,940
529752,942
533594,944
537440,946
543218,949
547076,951
550937,953
554803,955
560610,958
564487,960
568368,962
572254,964
578090,967
581986,969
585887,971
591746,974
595657,976
599573,978
605455,981
609381,983
613312,985
619216,988
623158,990
627104,992
633031,995
636988,997
642931,1000
646899,1002
650871,1004
656837,1007
660819,1009
664807,1011
670795,1014
674793,1016
680798,1019
684807,1021
688820,1023
